ip,datetime,method,url,protocol,status,size
67.214.178.190,17/May/2015:10:05:18 +0000,GET,/blog/geekery/installing-windows-8-consumer-preview.html,HTTP/1.0,200,8948
207.241.237.220,17/May/2015:10:05:28 +0000,GET,/blog/tags/projects,HTTP/1.0,200,28370
46.105.14.53,17/May/2015:10:05:44 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
207.241.237.227,17/May/2015:10:05:47 +0000,GET,/blog/geekery/soekris-gpio.html,HTTP/1.0,200,9587
91.177.205.119,17/May/2015:10:05:22 +0000,GET,/blog/geekery/xvfb-firefox.html,HTTP/1.1,200,10975
91.177.205.119,17/May/2015:10:05:34 +0000,GET,/reset.css,HTTP/1.1,200,1015
91.177.205.119,17/May/2015:10:05:37 +0000,GET,/style2.css,HTTP/1.1,200,4877
91.177.205.119,17/May/2015:10:05:54 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
91.177.205.119,17/May/2015:10:05:31 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
91.177.205.119,17/May/2015:10:05:32 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
66.249.73.185,17/May/2015:10:05:22 +0000,GET,/doc/index.html?org/elasticsearch/action/search/SearchResponse.html,HTTP/1.1,404,294
207.241.237.228,17/May/2015:10:05:40 +0000,GET,/blog/tags/defcon,HTTP/1.0,200,24142
207.241.237.101,17/May/2015:10:05:51 +0000,GET,/blog/tags/regex,HTTP/1.0,200,14888
87.169.99.232,17/May/2015:10:05:59 +0000,GET,/presentations/puppet-at-loggly/puppet-at-loggly.pdf.html,HTTP/1.1,200,24747
209.85.238.199,17/May/2015:10:05:30 +0000,GET,/blog/tags/firefox?flav=rss20,HTTP/1.1,200,16021
209.85.238.199,17/May/2015:10:05:15 +0000,GET,/test.xml,HTTP/1.1,200,1370
81.220.24.207,17/May/2015:10:05:13 +0000,GET,/blog/geekery/ssl-latency.html,HTTP/1.1,200,17147
81.220.24.207,17/May/2015:10:05:44 +0000,GET,/reset.css,HTTP/1.1,200,1015
81.220.24.207,17/May/2015:10:05:26 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
81.220.24.207,17/May/2015:10:05:39 +0000,GET,/style2.css,HTTP/1.1,200,4877
81.220.24.207,17/May/2015:10:05:52 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
81.220.24.207,17/May/2015:10:05:21 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
66.249.73.135,17/May/2015:11:05:17 +0000,GET,/blog/geekery/vmware-cpu-performance.html,HTTP/1.1,200,12908
46.105.14.53,17/May/2015:11:05:42 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
218.30.103.62,17/May/2015:11:05:11 +0000,GET,/robots.txt,HTTP/1.1,200,0
218.30.103.62,17/May/2015:11:05:46 +0000,GET,/robots.txt,HTTP/1.1,200,0
218.30.103.62,17/May/2015:11:05:45 +0000,GET,/projects/fex/,HTTP/1.1,200,14352
74.125.40.20,17/May/2015:11:05:59 +0000,GET,/?flav=rss20,HTTP/1.1,200,29941
71.212.224.97,17/May/2015:11:05:05 +0000,GET,/projects/xdotool/,HTTP/1.1,200,12292
71.212.224.97,17/May/2015:11:05:15 +0000,GET,/reset.css,HTTP/1.1,200,1015
71.212.224.97,17/May/2015:11:05:22 +0000,GET,/style2.css,HTTP/1.1,200,4877
71.212.224.97,17/May/2015:11:05:11 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
71.212.224.97,17/May/2015:11:05:28 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
218.30.103.62,17/May/2015:11:05:17 +0000,GET,/projects/xdotool/xdotool.xhtml,HTTP/1.1,304,0
108.174.55.234,17/May/2015:11:05:26 +0000,GET,/?flav=rss20,HTTP/1.1,200,29941
218.30.103.62,17/May/2015:11:05:37 +0000,GET,/blog/geekery/c-vs-python-bdb.html,HTTP/1.1,200,11388
121.107.188.202,17/May/2015:11:05:09 +0000,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard3.png,HTTP/1.1,200,171717
218.30.103.62,17/May/2015:11:05:39 +0000,GET,/blog/productivity/better-zsh-xterm-title-fix.html,HTTP/1.1,200,10185
218.30.103.62,17/May/2015:11:05:11 +0000,GET,/blog/geekery/xvfb-firefox.html,HTTP/1.1,200,10975
218.30.103.62,17/May/2015:11:05:00 +0000,GET,/blog/geekery/puppet-facts-into-mcollective.html,HTTP/1.1,200,9872
198.46.149.143,17/May/2015:11:05:10 +0000,GET,/blog/geekery/disabling-battery-in-ubuntu-vms.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29,HTTP/1.1,200,9316
198.46.149.143,17/May/2015:11:05:48 +0000,GET,/blog/geekery/solving-good-or-bad-problems.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29,HTTP/1.1,200,10756
218.30.103.62,17/May/2015:11:05:28 +0000,GET,/blog/geekery/jquery-interface-puffer.html%20target=,HTTP/1.1,200,202
218.30.103.62,17/May/2015:11:05:05 +0000,GET,/blog/geekery/ec2-reserved-vs-ondemand.html,HTTP/1.1,200,11834
66.249.73.135,17/May/2015:11:05:31 +0000,GET,/blog/web/firefox-scrolling-fix.html,HTTP/1.1,200,8956
86.1.76.62,17/May/2015:11:05:36 +0000,GET,/projects/xdotool/,HTTP/1.1,200,12292
